event_id,method,n_files,n_real,prec_at_1,prec_at_3,recall_at_5,triage_sec,found_first,repo
elasticsearch-ev00279,pre_only,8,4,1.0,0.6666666666666666,0.5,0,1,elasticsearch
elasticsearch-ev00280,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00281,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00282,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00283,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00284,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00285,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00286,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00287,pre_only,4,2,1.0,0.3333333333333333,1.0,0,1,elasticsearch
elasticsearch-ev00288,pre_only,6,3,1.0,0.6666666666666666,0.6666666666666666,0,1,elasticsearch
elasticsearch-ev00289,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
